Landscape,id,SurveyYear,GS,Necessary,Have,Quantity
crossriver,7001,2017,drinking water 15min,1,1,0
crossriver,7001,2017,cocoa dryer,1,0,0
crossriver,7001,2017,access bank,0,0,0
crossriver,7001,2017,hurricane lamp,1,1,0
crossriver,7001,2017,tv,1,1,1
crossriver,7001,2017,new clothes,1,1,0
crossriver,7001,2017,access employment,1,1,0
crossriver,7001,2017,access maternity,1,1,0
crossriver,7001,2017,chain saw,1,0,0
crossriver,7001,2017,moto,1,1,1
crossriver,7001,2017,car,0,0,0
crossriver,7001,2017,matress,1,1,1
crossriver,7001,2017,phone,1,1,1
crossriver,7001,2017,hair dressing,1,1,0
crossriver,7001,2017,agric extens service,1,0,0
crossriver,7001,2017,chair,1,1,6
crossriver,7001,2017,agric loan,1,0,0
crossriver,7001,2017,access skill aquisition,1,0,0
crossriver,7001,2017,sec educ,1,0,0
crossriver,7001,2017,wc,1,1,1
crossriver,7001,2017,health workers,1,1,1
crossriver,7001,2017,fridge,1,0,0
crossriver,7001,2017,sport field,1,1,0
crossriver,7001,2017,access road,1,0,0
crossriver,7001,2017,radio,1,1,0
crossriver,7001,2017,meals 3 day,1,1,0
crossriver,7001,2017,access cassava machine,1,0,0
crossriver,7001,2017,barbing salon,1,0,0
crossriver,7001,2017,wooden metal house,1,0,0
crossriver,7001,2017,generator,1,1,1
crossriver,7001,2017,machete,1,1,2
crossriver,7001,2017,sewing machine,1,0,0
crossriver,7001,2017,access market,1,1,0
crossriver,7002,2017,moto,1,1,1
crossriver,7002,2017,chain saw,0,0,0
crossriver,7002,2017,agric extens service,1,0,0
crossriver,7002,2017,access road,1,0,0
crossriver,7002,2017,access maternity,1,0,0
crossriver,7002,2017,access employment,1,1,2
crossriver,7002,2017,meals 3 day,1,1,0
crossriver,7002,2017,phone,1,1,7
crossriver,7002,2017,radio,1,1,4
crossriver,7002,2017,drinking water 15min,1,1,0
crossriver,7002,2017,hair dressing,1,0,0
crossriver,7002,2017,tv,1,1,1
crossriver,7002,2017,wooden metal house,1,1,3
crossriver,7002,2017,sewing machine,1,1,2
crossriver,7002,2017,new clothes,1,0,0
crossriver,7002,2017,access cassava machine,1,0,0
crossriver,7002,2017,sport field,1,1,1
crossriver,7002,2017,machete,1,0,0
crossriver,7002,2017,hurricane lamp,1,1,5
crossriver,7002,2017,chair,1,1,6
crossriver,7002,2017,barbing salon,1,0,0
crossriver,7002,2017,access bank,1,0,0
crossriver,7002,2017,fridge,1,0,0
crossriver,7002,2017,matress,1,1,7
crossriver,7002,2017,access market,1,1,0
crossriver,7002,2017,sec educ,1,1,0
crossriver,7002,2017,access skill aquisition,1,0,0
crossriver,7002,2017,generator,1,1,3
crossriver,7002,2017,agric loan,1,0,0
crossriver,7002,2017,health workers,1,1,1
crossriver,7002,2017,wc,1,1,2
crossriver,7002,2017,car,1,0,0
crossriver,7002,2017,cocoa dryer,1,0,0
crossriver,7003,2017,access market,1,1,0
crossriver,7003,2017,agric loan,1,0,0
crossriver,7003,2017,hurricane lamp,1,1,1
crossriver,7003,2017,car,0,0,0
crossriver,7003,2017,drinking water 15min,1,0,0
crossriver,7003,2017,barbing salon,1,0,0
crossriver,7003,2017,sport field,1,1,0
crossriver,7003,2017,new clothes,1,0,0
crossriver,7003,2017,access skill aquisition,1,0,0
crossriver,7003,2017,meals 3 day,1,1,0
crossriver,7003,2017,machete,1,1,2
crossriver,7003,2017,moto,1,0,0
crossriver,7003,2017,sewing machine,1,0,0
crossriver,7003,2017,access road,1,1,0
crossriver,7003,2017,chain saw,1,0,0
crossriver,7003,2017,phone,1,0,0
crossriver,7003,2017,generator,1,1,1
crossriver,7003,2017,agric extens service,1,1,0
crossriver,7003,2017,access employment,1,0,0
crossriver,7003,2017,health workers,1,1,1
crossriver,7003,2017,sec educ,1,0,0
crossriver,7003,2017,access maternity,1,0,0
crossriver,7003,2017,matress,1,1,1
crossriver,7003,2017,access cassava machine,1,0,0
crossriver,7003,2017,wc,1,1,1
crossriver,7003,2017,fridge,1,0,0
crossriver,7003,2017,wooden metal house,1,0,0
crossriver,7003,2017,cocoa dryer,1,1,1
crossriver,7003,2017,chair,1,1,2
crossriver,7003,2017,tv,1,0,0
crossriver,7003,2017,access bank,1,0,0
crossriver,7003,2017,hair dressing,1,1,0
crossriver,7003,2017,radio,1,0,0
crossriver,7004,2017,wc,1,1,1
crossriver,7004,2017,wooden metal house,1,1,0
crossriver,7004,2017,chain saw,1,0,0
crossriver,7004,2017,access maternity,1,1,0
crossriver,7004,2017,access bank,1,0,0
crossriver,7004,2017,access employment,1,1,0
crossriver,7004,2017,cocoa dryer,1,0,0
crossriver,7004,2017,radio,1,0,0
crossriver,7004,2017,generator,1,1,1
crossriver,7004,2017,matress,1,1,1
crossriver,7004,2017,phone,1,1,2
crossriver,7004,2017,access skill aquisition,1,0,0
crossriver,7004,2017,fridge,1,0,0
crossriver,7004,2017,hurricane lamp,1,1,2
crossriver,7004,2017,tv,1,0,0
crossriver,7004,2017,access cassava machine,1,1,0
crossriver,7004,2017,meals 3 day,1,0,0
crossriver,7004,2017,chair,1,1,4
crossriver,7004,2017,health workers,1,1,8
crossriver,7004,2017,hair dressing,1,1,0
crossriver,7004,2017,new clothes,1,1,0
crossriver,7004,2017,access road,1,1,0
crossriver,7004,2017,access market,1,0,0
crossriver,7004,2017,drinking water 15min,1,1,0
crossriver,7004,2017,sport field,1,1,0
crossriver,7004,2017,car,1,0,0
crossriver,7004,2017,moto,1,1,1
crossriver,7004,2017,machete,1,1,2
crossriver,7004,2017,sewing machine,1,0,0
crossriver,7004,2017,sec educ,1,1,0
crossriver,7004,2017,barbing salon,1,1,0
crossriver,7004,2017,agric extens service,1,1,0
crossriver,7004,2017,agric loan,1,0,0
crossriver,7005,2017,cocoa dryer,1,0,0
crossriver,7005,2017,sec educ,1,1,0
crossriver,7005,2017,access market,1,1,0
crossriver,7005,2017,wc,1,1,2
crossriver,7005,2017,access cassava machine,1,1,0
crossriver,7005,2017,new clothes,1,0,0
crossriver,7005,2017,sport field,1,1,0
crossriver,7005,2017,access road,1,1,0
crossriver,7005,2017,agric extens service,1,1,0
crossriver,7005,2017,radio,1,0,0
crossriver,7005,2017,moto,1,1,1
crossriver,7005,2017,matress,1,1,1
crossriver,7005,2017,generator,1,1,1
crossriver,7005,2017,machete,1,1,2
crossriver,7005,2017,agric loan,1,0,0
crossriver,7005,2017,phone,1,1,2
crossriver,7005,2017,access maternity,1,1,0
crossriver,7005,2017,barbing salon,1,1,0
crossriver,7005,2017,access employment,1,0,0
crossriver,7005,2017,tv,1,1,1
crossriver,7005,2017,access skill aquisition,1,1,0
crossriver,7005,2017,drinking water 15min,1,1,0
crossriver,7005,2017,car,1,0,0
crossriver,7005,2017,meals 3 day,1,1,0
crossriver,7005,2017,fridge,0,0,0
crossriver,7005,2017,wooden metal house,1,0,0
crossriver,7005,2017,hair dressing,1,1,0
crossriver,7005,2017,access bank,1,0,0
crossriver,7005,2017,health workers,1,1,6
crossriver,7005,2017,hurricane lamp,1,1,1
crossriver,7005,2017,chain saw,1,0,0
crossriver,7005,2017,chair,1,1,4
crossriver,7005,2017,sewing machine,1,0,0
crossriver,7006,2017,hurricane lamp,1,1,1
crossriver,7006,2017,access market,1,1,0
crossriver,7006,2017,matress,1,1,5
crossriver,7006,2017,car,1,0,0
crossriver,7006,2017,sport field,1,1,0
crossriver,7006,2017,hair dressing,0,1,0
crossriver,7006,2017,health workers,1,1,0
crossriver,7006,2017,agric extens service,1,0,0
crossriver,7006,2017,moto,0,0,0
crossriver,7006,2017,machete,1,1,4
crossriver,7006,2017,generator,1,1,1
crossriver,7006,2017,new clothes,1,0,0
crossriver,7006,2017,chair,1,1,5
crossriver,7006,2017,barbing salon,1,1,0
crossriver,7006,2017,wc,1,1,1
crossriver,7006,2017,tv,1,1,1
crossriver,7006,2017,radio,1,0,0
crossriver,7006,2017,access road,1,1,0
crossriver,7006,2017,access cassava machine,1,1,0
crossriver,7006,2017,sec educ,1,1,0
crossriver,7006,2017,access employment,1,0,0
crossriver,7006,2017,access maternity,1,1,0
crossriver,7006,2017,drinking water 15min,1,0,0
crossriver,7006,2017,sewing machine,1,0,0
crossriver,7006,2017,cocoa dryer,1,0,0
crossriver,7006,2017,chain saw,0,0,0
crossriver,7006,2017,fridge,1,0,0
crossriver,7006,2017,meals 3 day,1,0,0
crossriver,7006,2017,wooden metal house,1,1,2
crossriver,7006,2017,access bank,1,0,0
crossriver,7006,2017,agric loan,1,0,0
crossriver,7006,2017,access skill aquisition,1,1,0
crossriver,7006,2017,phone,1,1,3
crossriver,7007,2017,wc,1,1,1
crossriver,7007,2017,phone,1,1,2
crossriver,7007,2017,car,1,0,0
crossriver,7007,2017,access bank,1,0,0
crossriver,7007,2017,cocoa dryer,0,0,0
crossriver,7007,2017,drinking water 15min,1,1,0
crossriver,7007,2017,access market,1,1,0
crossriver,7007,2017,fridge,0,0,0
crossriver,7007,2017,meals 3 day,1,1,0
crossriver,7007,2017,chair,1,1,6
crossriver,7007,2017,barbing salon,1,1,0
crossriver,7007,2017,access maternity,1,1,0
crossriver,7007,2017,generator,1,1,1
crossriver,7007,2017,matress,1,1,2
crossriver,7007,2017,access employment,1,0,0
crossriver,7007,2017,radio,1,1,1
crossriver,7007,2017,hurricane lamp,0,0,0
crossriver,7007,2017,wooden metal house,1,0,0
crossriver,7007,2017,chain saw,1,1,1
crossriver,7007,2017,sewing machine,1,0,0
crossriver,7007,2017,moto,1,1,1
crossriver,7007,2017,hair dressing,1,1,0
crossriver,7007,2017,agric extens service,1,1,0
crossriver,7007,2017,health workers,1,1,7
crossriver,7007,2017,access cassava machine,1,1,0
crossriver,7007,2017,sec educ,1,1,0
crossriver,7007,2017,tv,1,1,1
crossriver,7007,2017,access road,1,1,0
crossriver,7007,2017,access skill aquisition,1,1,0
crossriver,7007,2017,machete,1,1,4
crossriver,7007,2017,new clothes,1,1,0
crossriver,7007,2017,sport field,1,1,0
crossriver,7007,2017,agric loan,1,0,0
crossriver,7008,2017,hair dressing,1,1,0
crossriver,7008,2017,access road,1,1,0
crossriver,7008,2017,access skill aquisition,1,1,0
crossriver,7008,2017,access employment,1,1,0
crossriver,7008,2017,access market,1,1,0
crossriver,7008,2017,matress,1,1,0
crossriver,7008,2017,chair,1,1,0
crossriver,7008,2017,sewing machine,1,0,0
crossriver,7008,2017,wooden metal house,1,0,0
crossriver,7008,2017,drinking water 15min,1,1,1
crossriver,7008,2017,car,1,0,0
crossriver,7008,2017,agric loan,1,0,0
crossriver,7008,2017,fridge,1,0,0
crossriver,7008,2017,sport field,1,1,0
crossriver,7008,2017,chain saw,1,0,0
crossriver,7008,2017,tv,1,0,0
crossriver,7008,2017,sec educ,1,1,0
crossriver,7008,2017,hurricane lamp,1,1,1
crossriver,7008,2017,radio,1,0,0
crossriver,7008,2017,new clothes,1,0,0
crossriver,7008,2017,agric extens service,1,1,0
crossriver,7008,2017,barbing salon,1,1,0
crossriver,7008,2017,wc,1,1,1
crossriver,7008,2017,access bank,1,1,0
crossriver,7008,2017,access cassava machine,1,1,0
crossriver,7008,2017,meals 3 day,1,1,0
crossriver,7008,2017,moto,1,0,0
crossriver,7008,2017,access maternity,1,1,0
crossriver,7008,2017,generator,1,0,0
crossriver,7008,2017,cocoa dryer,1,0,0
crossriver,7008,2017,health workers,1,1,7
crossriver,7008,2017,machete,1,1,1
crossriver,7008,2017,phone,1,1,1
crossriver,7009,2017,sport field,1,1,0
crossriver,7009,2017,access cassava machine,1,1,0
crossriver,7009,2017,moto,1,1,0
crossriver,7009,2017,access employment,1,0,0
crossriver,7009,2017,phone,1,1,1
crossriver,7009,2017,wc,1,1,1
crossriver,7009,2017,access skill aquisition,1,1,0
crossriver,7009,2017,tv,1,0,0
crossriver,7009,2017,sec educ,1,1,0
crossriver,7009,2017,radio,1,0,0
crossriver,7009,2017,barbing salon,1,1,0
crossriver,7009,2017,sewing machine,1,0,0
crossriver,7009,2017,fridge,0,0,0
crossriver,7009,2017,wooden metal house,1,0,0
crossriver,7009,2017,meals 3 day,1,1,0
crossriver,7009,2017,agric extens service,1,1,0
crossriver,7009,2017,agric loan,0,0,0
crossriver,7009,2017,health workers,1,1,7
crossriver,7009,2017,generator,1,0,0
crossriver,7009,2017,access road,1,1,0
crossriver,7009,2017,drinking water 15min,1,1,0
crossriver,7009,2017,access market,1,1,0
crossriver,7009,2017,chain saw,0,0,0
crossriver,7009,2017,hurricane lamp,1,1,0
crossriver,7009,2017,machete,1,1,0
crossriver,7009,2017,access bank,1,1,0
crossriver,7009,2017,chair,1,1,6
crossriver,7009,2017,cocoa dryer,1,0,0
crossriver,7009,2017,new clothes,1,0,0
crossriver,7009,2017,hair dressing,1,1,0
crossriver,7009,2017,access maternity,1,1,0
crossriver,7009,2017,car,0,0,0
crossriver,7009,2017,matress,1,1,2
crossriver,7010,2017,sewing machine,0,0,0
crossriver,7010,2017,hurricane lamp,1,1,2
crossriver,7010,2017,access road,1,1,0
crossriver,7010,2017,chain saw,1,0,0
crossriver,7010,2017,moto,1,0,0
crossriver,7010,2017,access market,1,1,0
crossriver,7010,2017,wooden metal house,1,1,5
crossriver,7010,2017,car,1,0,0
crossriver,7010,2017,wc,1,1,1
crossriver,7010,2017,sec educ,1,1,0
crossriver,7010,2017,agric extens service,1,1,0
crossriver,7010,2017,cocoa dryer,1,0,0
crossriver,7010,2017,health workers,1,1,6
crossriver,7010,2017,fridge,1,1,0
crossriver,7010,2017,access skill aquisition,0,0,0
crossriver,7010,2017,machete,1,1,5
crossriver,7010,2017,generator,1,1,1
crossriver,7010,2017,tv,1,1,1
crossriver,7010,2017,radio,1,0,0
crossriver,7010,2017,access cassava machine,0,1,0
crossriver,7010,2017,matress,1,1,4
crossriver,7010,2017,agric loan,1,0,0
crossriver,7010,2017,barbing salon,1,1,0
crossriver,7010,2017,access bank,1,0,0
crossriver,7010,2017,access employment,1,0,0
crossriver,7010,2017,sport field,1,1,0
crossriver,7010,2017,new clothes,1,1,0
crossriver,7010,2017,drinking water 15min,1,0,0
crossriver,7010,2017,access maternity,1,1,0
crossriver,7010,2017,meals 3 day,1,1,0
crossriver,7010,2017,phone,1,1,3
crossriver,7010,2017,chair,1,1,15
crossriver,7010,2017,hair dressing,1,1,0
crossriver,7011,2017,chain saw,0,0,0
crossriver,7011,2017,drinking water 15min,1,1,0
crossriver,7011,2017,wooden metal house,1,1,2
crossriver,7011,2017,sport field,1,1,0
crossriver,7011,2017,new clothes,1,1,0
crossriver,7011,2017,fridge,1,0,0
crossriver,7011,2017,machete,1,1,6
crossriver,7011,2017,access maternity,1,1,0
crossriver,7011,2017,agric loan,1,0,0
crossriver,7011,2017,matress,1,1,3
crossriver,7011,2017,access employment,1,0,0
crossriver,7011,2017,sec educ,1,1,0
crossriver,7011,2017,phone,1,1,4
crossriver,7011,2017,barbing salon,1,1,0
crossriver,7011,2017,radio,1,1,3
crossriver,7011,2017,access cassava machine,1,1,0
crossriver,7011,2017,hurricane lamp,1,0,1
crossriver,7011,2017,access market,1,1,0
crossriver,7011,2017,moto,1,1,2
crossriver,7011,2017,agric extens service,0,0,0
crossriver,7011,2017,access road,1,1,0
crossriver,7011,2017,sewing machine,1,0,0
crossriver,7011,2017,car,0,0,0
crossriver,7011,2017,hair dressing,1,1,0
crossriver,7011,2017,wc,1,1,1
crossriver,7011,2017,generator,1,1,1
crossriver,7011,2017,access bank,1,1,0
crossriver,7011,2017,access skill aquisition,1,0,0
crossriver,7011,2017,tv,1,1,1
crossriver,7011,2017,meals 3 day,1,1,0
crossriver,7011,2017,chair,1,1,8
crossriver,7011,2017,cocoa dryer,1,1,0
crossriver,7011,2017,health workers,1,1,8
crossriver,7012,2017,health workers,1,1,5
crossriver,7012,2017,phone,1,1,3
crossriver,7012,2017,sport field,1,1,0
crossriver,7012,2017,new clothes,1,1,0
crossriver,7012,2017,sec educ,1,1,0
crossriver,7012,2017,sewing machine,0,0,0
crossriver,7012,2017,moto,1,1,2
crossriver,7012,2017,radio,1,1,1
crossriver,7012,2017,car,1,1,1
crossriver,7012,2017,hurricane lamp,1,1,2
crossriver,7012,2017,chair,1,1,8
crossriver,7012,2017,access maternity,1,1,0
crossriver,7012,2017,agric loan,1,0,0
crossriver,7012,2017,fridge,1,0,0
crossriver,7012,2017,access skill aquisition,1,0,0
crossriver,7012,2017,matress,1,1,5
crossriver,7012,2017,meals 3 day,1,1,0
crossriver,7012,2017,tv,1,1,1
crossriver,7012,2017,access market,1,1,0
crossriver,7012,2017,access road,1,1,0
crossriver,7012,2017,barbing salon,1,1,0
crossriver,7012,2017,agric extens service,1,1,0
crossriver,7012,2017,hair dressing,1,1,0
crossriver,7012,2017,access cassava machine,1,1,0
crossriver,7012,2017,machete,1,1,2
crossriver,7012,2017,chain saw,1,0,0
crossriver,7012,2017,wooden metal house,1,1,3
crossriver,7012,2017,access employment,1,1,0
crossriver,7012,2017,generator,1,1,1
crossriver,7012,2017,cocoa dryer,1,0,0
crossriver,7012,2017,drinking water 15min,1,0,0
crossriver,7012,2017,access bank,1,1,0
crossriver,7012,2017,wc,1,1,4
crossriver,7013,2017,health workers,1,1,7
crossriver,7013,2017,access skill aquisition,0,0,0
crossriver,7013,2017,moto,1,1,0
crossriver,7013,2017,wooden metal house,1,1,1
crossriver,7013,2017,access employment,1,0,0
crossriver,7013,2017,phone,1,1,1
crossriver,7013,2017,access bank,1,1,0
crossriver,7013,2017,access cassava machine,1,1,0
crossriver,7013,2017,chain saw,1,0,0
crossriver,7013,2017,hurricane lamp,1,0,0
crossriver,7013,2017,fridge,0,0,0
crossriver,7013,2017,agric extens service,1,1,0
crossriver,7013,2017,hair dressing,1,1,0
crossriver,7013,2017,meals 3 day,1,1,0
crossriver,7013,2017,agric loan,1,0,0
crossriver,7013,2017,generator,1,0,0
crossriver,7013,2017,matress,1,1,2
crossriver,7013,2017,access road,1,1,0
crossriver,7013,2017,drinking water 15min,1,1,0
crossriver,7013,2017,sport field,1,1,0
crossriver,7013,2017,access market,1,1,0
crossriver,7013,2017,barbing salon,1,1,0
crossriver,7013,2017,wc,1,1,1
crossriver,7013,2017,new clothes,1,0,0
crossriver,7013,2017,car,1,0,0
crossriver,7013,2017,tv,1,0,0
crossriver,7013,2017,cocoa dryer,1,0,0
crossriver,7013,2017,radio,1,0,0
crossriver,7013,2017,sec educ,1,1,0
crossriver,7013,2017,sewing machine,1,0,0
crossriver,7013,2017,chair,1,1,3
crossriver,7013,2017,access maternity,1,1,0
crossriver,7013,2017,machete,1,1,2
crossriver,7014,2017,sec educ,1,1,0
crossriver,7014,2017,access road,1,1,0
crossriver,7014,2017,chair,1,1,3
crossriver,7014,2017,access cassava machine,1,1,0
crossriver,7014,2017,access maternity,1,1,0
crossriver,7014,2017,access bank,1,1,0
crossriver,7014,2017,cocoa dryer,1,0,0
crossriver,7014,2017,wc,1,1,2
crossriver,7014,2017,car,1,0,0
crossriver,7014,2017,hair dressing,1,1,0
crossriver,7014,2017,tv,1,0,0
crossriver,7014,2017,barbing salon,1,1,0
crossriver,7014,2017,fridge,1,0,0
crossriver,7014,2017,sport field,1,1,0
crossriver,7014,2017,chain saw,0,0,0
crossriver,7014,2017,new clothes,1,1,0
crossriver,7014,2017,generator,1,1,0
crossriver,7014,2017,access market,1,1,0
crossriver,7014,2017,drinking water 15min,1,0,0
crossriver,7014,2017,hurricane lamp,1,0,0
crossriver,7014,2017,health workers,1,1,6
crossriver,7014,2017,radio,1,1,1
crossriver,7014,2017,access skill aquisition,1,0,0
crossriver,7014,2017,moto,1,1,1
crossriver,7014,2017,agric extens service,1,1,0
crossriver,7014,2017,meals 3 day,1,1,0
crossriver,7014,2017,sewing machine,1,0,0
crossriver,7014,2017,agric loan,1,0,0
crossriver,7014,2017,phone,1,1,1
crossriver,7014,2017,access employment,1,0,0
crossriver,7014,2017,machete,1,1,2
crossriver,7014,2017,wooden metal house,1,1,0
crossriver,7014,2017,matress,1,1,1
crossriver,7015,2017,tv,1,1,1
crossriver,7015,2017,access employment,1,0,0
crossriver,7015,2017,matress,1,1,1
crossriver,7015,2017,fridge,1,0,0
crossriver,7015,2017,access skill aquisition,1,1,0
crossriver,7015,2017,access bank,1,1,0
crossriver,7015,2017,agric loan,1,0,0
crossriver,7015,2017,barbing salon,1,1,0
crossriver,7015,2017,radio,1,1,1
crossriver,7015,2017,hurricane lamp,1,1,0
crossriver,7015,2017,access market,1,1,0
crossriver,7015,2017,phone,1,1,1
crossriver,7015,2017,car,1,0,0
crossriver,7015,2017,sec educ,1,1,0
crossriver,7015,2017,new clothes,1,0,0
crossriver,7015,2017,cocoa dryer,1,0,0
crossriver,7015,2017,moto,1,1,2
crossriver,7015,2017,access maternity,1,1,0
crossriver,7015,2017,meals 3 day,1,0,0
crossriver,7015,2017,wc,1,1,3
crossriver,7015,2017,health workers,1,1,8
crossriver,7015,2017,agric extens service,1,0,0
crossriver,7015,2017,machete,1,1,3
crossriver,7015,2017,chain saw,1,0,0
crossriver,7015,2017,chair,1,1,3
crossriver,7015,2017,sewing machine,1,0,0
crossriver,7015,2017,hair dressing,1,1,0
crossriver,7015,2017,access cassava machine,1,1,0
crossriver,7015,2017,drinking water 15min,1,0,0
crossriver,7015,2017,wooden metal house,1,1,1
crossriver,7015,2017,generator,1,1,1
crossriver,7015,2017,sport field,1,1,0
crossriver,7015,2017,access road,1,1,0
crossriver,7016,2017,access employment,1,1,0
crossriver,7016,2017,chain saw,0,0,0
crossriver,7016,2017,access cassava machine,1,1,0
crossriver,7016,2017,access market,1,1,0
crossriver,7016,2017,meals 3 day,1,1,0
crossriver,7016,2017,fridge,1,1,1
crossriver,7016,2017,wooden metal house,1,1,1
crossriver,7016,2017,moto,1,0,0
crossriver,7016,2017,hurricane lamp,1,1,1
crossriver,7016,2017,health workers,1,1,6
crossriver,7016,2017,access road,1,1,0
crossriver,7016,2017,access bank,1,1,0
crossriver,7016,2017,access maternity,1,1,0
crossriver,7016,2017,access skill aquisition,1,0,0
crossriver,7016,2017,phone,1,1,2
crossriver,7016,2017,wc,1,1,1
crossriver,7016,2017,agric extens service,1,1,0
crossriver,7016,2017,sewing machine,1,0,0
crossriver,7016,2017,matress,1,1,2
crossriver,7016,2017,hair dressing,1,1,0
crossriver,7016,2017,chair,1,1,9
crossriver,7016,2017,sec educ,1,1,0
crossriver,7016,2017,machete,1,1,2
crossriver,7016,2017,car,1,1,1
crossriver,7016,2017,cocoa dryer,1,1,1
crossriver,7016,2017,radio,1,1,2
crossriver,7016,2017,sport field,1,1,0
crossriver,7016,2017,drinking water 15min,1,1,0
crossriver,7016,2017,agric loan,1,0,0
crossriver,7016,2017,barbing salon,1,1,0
crossriver,7016,2017,tv,1,1,1
crossriver,7016,2017,new clothes,1,1,0
crossriver,7016,2017,generator,1,1,1
crossriver,7017,2017,new clothes,1,1,0
crossriver,7017,2017,sport field,1,1,0
crossriver,7017,2017,sewing machine,1,1,0
crossriver,7017,2017,car,1,0,0
crossriver,7017,2017,sec educ,1,1,0
crossriver,7017,2017,access bank,1,1,0
crossriver,7017,2017,machete,1,1,5
crossriver,7017,2017,chain saw,1,0,0
crossriver,7017,2017,barbing salon,1,1,0
crossriver,7017,2017,phone,1,1,1
crossriver,7017,2017,tv,1,1,1
crossriver,7017,2017,agric loan,1,0,0
crossriver,7017,2017,access road,1,1,0
crossriver,7017,2017,access skill aquisition,1,0,0
crossriver,7017,2017,health workers,1,1,7
crossriver,7017,2017,hair dressing,1,1,0
crossriver,7017,2017,wooden metal house,1,0,0
crossriver,7017,2017,cocoa dryer,1,1,1
crossriver,7017,2017,access market,1,1,0
crossriver,7017,2017,hurricane lamp,1,0,0
crossriver,7017,2017,access employment,1,0,0
crossriver,7017,2017,fridge,1,0,0
crossriver,7017,2017,agric extens service,1,1,0
crossriver,7017,2017,moto,1,1,1
crossriver,7017,2017,access maternity,1,1,0
crossriver,7017,2017,access cassava machine,1,1,0
crossriver,7017,2017,chair,1,1,20
crossriver,7017,2017,wc,1,1,1
crossriver,7017,2017,generator,1,1,1
crossriver,7017,2017,meals 3 day,1,1,0
crossriver,7017,2017,matress,1,1,1
crossriver,7017,2017,drinking water 15min,1,1,0
crossriver,7017,2017,radio,1,0,1
crossriver,7018,2017,cocoa dryer,1,0,0
crossriver,7018,2017,barbing salon,1,1,0
crossriver,7018,2017,agric loan,1,0,0
crossriver,7018,2017,access cassava machine,1,1,0
crossriver,7018,2017,access skill aquisition,1,1,0
crossriver,7018,2017,drinking water 15min,1,0,0
crossriver,7018,2017,wc,1,1,3
crossriver,7018,2017,access road,1,1,0
crossriver,7018,2017,moto,1,1,1
crossriver,7018,2017,radio,1,1,1
crossriver,7018,2017,access employment,1,1,0
crossriver,7018,2017,car,1,0,0
crossriver,7018,2017,hair dressing,1,1,0
crossriver,7018,2017,generator,1,1,1
crossriver,7018,2017,tv,1,1,1
crossriver,7018,2017,chair,1,1,17
crossriver,7018,2017,machete,1,1,3
crossriver,7018,2017,meals 3 day,1,0,0
crossriver,7018,2017,fridge,1,1,0
crossriver,7018,2017,matress,1,1,6
crossriver,7018,2017,phone,1,1,5
crossriver,7018,2017,access market,1,1,0
crossriver,7018,2017,access bank,1,1,0
crossriver,7018,2017,agric extens service,1,1,0
crossriver,7018,2017,sec educ,1,1,0
crossriver,7018,2017,new clothes,1,0,0
crossriver,7018,2017,health workers,1,1,7
crossriver,7018,2017,wooden metal house,1,1,2
crossriver,7018,2017,access maternity,1,1,0
crossriver,7018,2017,chain saw,1,0,0
crossriver,7018,2017,sport field,1,1,0
crossriver,7018,2017,hurricane lamp,1,0,0
crossriver,7018,2017,sewing machine,1,0,0
crossriver,7019,2017,hair dressing,1,1,0
crossriver,7019,2017,machete,1,1,0
crossriver,7019,2017,barbing salon,1,1,0
crossriver,7019,2017,access road,1,1,0
crossriver,7019,2017,chain saw,1,0,0
crossriver,7019,2017,access skill aquisition,1,0,0
crossriver,7019,2017,fridge,1,0,0
crossriver,7019,2017,new clothes,1,0,0
crossriver,7019,2017,matress,1,1,1
crossriver,7019,2017,wc,1,1,1
crossriver,7019,2017,drinking water 15min,1,0,0
crossriver,7019,2017,access employment,1,0,0
crossriver,7019,2017,tv,1,0,0
crossriver,7019,2017,radio,1,0,0
crossriver,7019,2017,generator,1,0,0
crossriver,7019,2017,phone,1,1,2
crossriver,7019,2017,access bank,1,1,0
crossriver,7019,2017,access market,1,1,0
crossriver,7019,2017,moto,1,0,0
crossriver,7019,2017,chair,1,1,6
crossriver,7019,2017,access cassava machine,1,1,0
crossriver,7019,2017,agric extens service,1,1,0
crossriver,7019,2017,sport field,1,1,0
crossriver,7019,2017,hurricane lamp,1,0,0
crossriver,7019,2017,access maternity,1,1,0
crossriver,7019,2017,car,0,0,0
crossriver,7019,2017,cocoa dryer,1,0,0
crossriver,7019,2017,sewing machine,1,0,0
crossriver,7019,2017,health workers,1,1,0
crossriver,7019,2017,wooden metal house,1,1,1
crossriver,7019,2017,agric loan,1,0,0
crossriver,7019,2017,sec educ,1,1,0
crossriver,7019,2017,meals 3 day,1,0,0
crossriver,7020,2017,chair,1,0,0
crossriver,7020,2017,sec educ,1,1,0
crossriver,7020,2017,chain saw,1,0,0
crossriver,7020,2017,wc,1,0,0
crossriver,7020,2017,tv,1,1,1
crossriver,7020,2017,new clothes,1,0,0
crossriver,7020,2017,sport field,1,1,0
crossriver,7020,2017,agric loan,1,0,0
crossriver,7020,2017,machete,1,1,1
crossriver,7020,2017,fridge,1,0,0
crossriver,7020,2017,access employment,1,0,0
crossriver,7020,2017,health workers,1,1,8
crossriver,7020,2017,agric extens service,1,0,0
crossriver,7020,2017,drinking water 15min,1,1,0
crossriver,7020,2017,access cassava machine,1,1,0
