Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,BenefProject,HhTypeControl,female
ituri,3162,2019,.5551583766937256,1016.531677246094,mandima,1.353116,29.07891,1.3497698,29.074991,1989,agriculture,,,,woman,30,bantou,0,7,0,1,0,1
ituri,3137,2019,.4361854493618011,136.5425567626953,mandima,1.353116,29.07891,1.3497698,29.074991,2005,agriculture,,,,woman,61,bantou,0,3,0,0,1,1
ituri,3145,2019,.7135458588600159,1235.55908203125,mandima,1.353116,29.07891,1.3497698,29.074991,1992,agriculture,,,,man,51,bantou,0,12,0,0,1,0
ituri,3147,2019,.3760546445846558,110.8308029174805,mandima,1.353116,29.07891,1.3497698,29.074991,1994,agriculture,,,,woman,35,bantou,0,21,0,1,0,1
ituri,3168,2019,.6143895387649536,113.6956939697266,mandima,1.353116,29.07891,1.3497698,29.074991,1960,agriculture,,,,man,85,bantou,0,7,0,1,0,0
ituri,3159,2019,.7556106448173523,205.4605712890625,mandima,1.353116,29.07891,1.3497698,29.074991,1980,agriculture,sewing,,,woman,55,bantou,0,12,0,1,0,1
ituri,3141,2019,.7904539108276367,1255.879150390625,mandima,1.353116,29.07891,1.3497698,29.074991,2003,agriculture,carpenter,,,man,44,bantou,0,8,0,0,1,0
ituri,3171,2019,.3763707280158997,99.89316558837891,mandima,1.353116,29.07891,1.3497698,29.074991,1995,agriculture,,,,woman,54,bantou,0,11,,0,1,1
ituri,3132,2019,.6458044648170471,184.8857727050781,mandima,1.353116,29.07891,1.3497698,29.074991,1990,agriculture,,,,man,75,bantou,0,4,0,0,1,0
ituri,3177,2019,.5878133177757263,140.9708557128906,mandima,1.353116,29.07891,1.3497698,29.074991,1985,agriculture,,,,woman,57,bantou,0,7,,0,1,1
ituri,4585,2021,.434798926115036,189.7080993652344,bandisende,1.353143,28.758706,1.3578314,28.753626,1993,hunt,agriculture,livestock,,man,28,pygmy,1,7,0,0,1,0
ituri,681,2015,.4428061544895172,,masiliko,1.35315,29.23577,1.352186,29.238846,,agriculture,,,,man,,bantou,0,8,,,0,0
ituri,1326,2015,.4762337505817413,,mania,1.35319,29.15252,1.3505521,29.155651,,agriculture,,,,man,35,bantou,0,6,,,0,0
ituri,2042,2017,.5823809504508972,247.5267028808594,masiliko,1.353257,29.235757,1.352186,29.238846,2012,agriculture,alcoholicdistillation,,,man,44,bantou,0,8,0,0,0,0
ituri,308,2015,.5743284225463867,,bandisende,1.35327,28.75849,1.3578314,28.753626,,hunt,,,,man,22,autochtones,1,3,,,0,0
