landscape,id,surveyyear,gs,necessary,have,quantity,price
makira,10012,2017,enough field,TRUE,TRUE,0,null
makira,10012,2017,kindergarden,TRUE,FALSE,0,null
makira,10012,2017,drinking water 15min,TRUE,FALSE,0,null
makira,10012,2017,dam,TRUE,FALSE,0,null
makira,10012,2017,pot,TRUE,TRUE,5,null
makira,10012,2017,new clothes,TRUE,TRUE,0,null
makira,10012,2017,sport field,TRUE,TRUE,0,null
makira,10012,2017,vet service,TRUE,FALSE,0,null
makira,10012,2017,phone,TRUE,FALSE,0,null
makira,10012,2017,plough,TRUE,FALSE,0,null
makira,10012,2017,machete,TRUE,TRUE,3,null
makira,10012,2017,solar panel,TRUE,TRUE,1,null
makira,10012,2017,moto,FALSE,FALSE,0,null
makira,10012,2017,radio,TRUE,TRUE,1,null
makira,10012,2017,cookstove,TRUE,FALSE,0,null
makira,10012,2017,library,FALSE,FALSE,0,null
makira,10012,2017,firewood everyday,TRUE,TRUE,0,null
makira,10012,2017,local hospital,TRUE,FALSE,0,null
makira,10012,2017,market,TRUE,TRUE,0,null
makira,10012,2017,tv,FALSE,FALSE,0,null
makira,10012,2017,meals 3 day,TRUE,FALSE,0,null
makira,10012,2017,wc,FALSE,TRUE,1,null
makira,10012,2017,primary school,TRUE,TRUE,0,null
makira,10012,2017,sewing machine,FALSE,FALSE,0,null
makira,10012,2017,zebu,FALSE,FALSE,0,null
makira,10012,2017,access road,TRUE,FALSE,0,null
makira,10012,2017,agric training,TRUE,FALSE,0,null
makira,10012,2017,mosquito net,TRUE,TRUE,2,null
makira,10012,2017,electricity village,FALSE,FALSE,0,null
makira,10012,2017,access cutting machine,TRUE,FALSE,0,null
makira,10012,2017,chicken,TRUE,TRUE,50,null
makira,10012,2017,security,TRUE,TRUE,0,null
makira,10012,2017,access high school,FALSE,FALSE,0,null
makira,10012,2017,wooden house,TRUE,TRUE,1,null
makira,10012,2017,bank,FALSE,FALSE,0,null
makira,10013,2017,phone,FALSE,FALSE,0,null
makira,10013,2017,tv,FALSE,FALSE,0,null
makira,10013,2017,market,TRUE,TRUE,0,null
makira,10013,2017,sewing machine,FALSE,FALSE,0,null
makira,10013,2017,pot,TRUE,TRUE,4,null
makira,10013,2017,solar panel,TRUE,TRUE,1,null
makira,10013,2017,radio,FALSE,FALSE,0,null
makira,10013,2017,cookstove,FALSE,FALSE,0,null
makira,10013,2017,machete,TRUE,TRUE,3,null
makira,10013,2017,meals 3 day,TRUE,TRUE,0,null
makira,10013,2017,mosquito net,TRUE,TRUE,1,null
makira,10013,2017,primary school,TRUE,TRUE,0,null
makira,10013,2017,chicken,TRUE,TRUE,10,null
makira,10013,2017,wooden house,TRUE,FALSE,0,null
makira,10013,2017,drinking water 15min,TRUE,FALSE,0,null
makira,10013,2017,enough field,TRUE,TRUE,0,null
makira,10013,2017,wc,FALSE,TRUE,1,null
makira,10013,2017,moto,FALSE,FALSE,0,null
makira,10013,2017,zebu,FALSE,FALSE,0,null
makira,10013,2017,local hospital,TRUE,FALSE,0,null
makira,10013,2017,sport field,TRUE,TRUE,0,null
makira,10013,2017,access cutting machine,TRUE,FALSE,0,null
makira,10013,2017,agric training,TRUE,FALSE,0,null
makira,10013,2017,vet service,TRUE,FALSE,0,null
makira,10013,2017,bank,TRUE,FALSE,0,null
makira,10013,2017,plough,FALSE,FALSE,0,null
makira,10013,2017,new clothes,TRUE,TRUE,0,null
makira,10013,2017,kindergarden,FALSE,FALSE,0,null
makira,10013,2017,library,FALSE,FALSE,0,null
makira,10013,2017,electricity village,FALSE,FALSE,0,null
makira,10013,2017,access high school,FALSE,FALSE,0,null
makira,10013,2017,security,TRUE,TRUE,0,null
makira,10013,2017,access road,FALSE,FALSE,0,null
makira,10013,2017,firewood everyday,TRUE,TRUE,0,null
makira,10013,2017,dam,TRUE,FALSE,0,null
makira,10014,2017,cookstove,FALSE,FALSE,0,null
makira,10014,2017,firewood everyday,TRUE,TRUE,0,null
makira,10014,2017,access road,TRUE,FALSE,0,null
makira,10014,2017,access cutting machine,TRUE,FALSE,0,null
makira,10014,2017,access high school,FALSE,FALSE,0,null
makira,10014,2017,vet service,TRUE,FALSE,0,null
makira,10014,2017,plough,TRUE,TRUE,1,null
makira,10014,2017,chicken,TRUE,TRUE,12,null
makira,10014,2017,sewing machine,FALSE,FALSE,0,null
makira,10014,2017,zebu,TRUE,TRUE,2,null
makira,10014,2017,electricity village,TRUE,FALSE,0,null
makira,10014,2017,moto,FALSE,FALSE,0,null
makira,10014,2017,agric training,TRUE,FALSE,0,null
makira,10014,2017,tv,FALSE,FALSE,0,null
makira,10014,2017,dam,TRUE,FALSE,0,null
makira,10014,2017,meals 3 day,TRUE,TRUE,0,null
makira,10014,2017,local hospital,TRUE,FALSE,0,null
makira,10014,2017,new clothes,TRUE,TRUE,0,null
makira,10014,2017,wooden house,TRUE,FALSE,0,null
makira,10014,2017,wc,TRUE,FALSE,0,null
makira,10014,2017,phone,FALSE,FALSE,0,null
makira,10014,2017,bank,FALSE,FALSE,0,null
makira,10014,2017,kindergarden,FALSE,FALSE,0,null
makira,10014,2017,sport field,TRUE,TRUE,0,null
makira,10014,2017,primary school,TRUE,TRUE,0,null
makira,10014,2017,machete,TRUE,TRUE,2,null
makira,10014,2017,library,TRUE,FALSE,0,null
makira,10014,2017,mosquito net,TRUE,TRUE,2,null
makira,10014,2017,market,TRUE,TRUE,0,null
makira,10014,2017,pot,TRUE,TRUE,5,null
makira,10014,2017,solar panel,FALSE,FALSE,0,null
makira,10014,2017,security,TRUE,TRUE,0,null
makira,10014,2017,drinking water 15min,TRUE,FALSE,0,null
makira,10014,2017,radio,FALSE,FALSE,0,null
makira,10014,2017,enough field,TRUE,TRUE,0,null
makira,10015,2017,electricity village,FALSE,FALSE,0,null
makira,10015,2017,machete,TRUE,TRUE,3,null
makira,10015,2017,meals 3 day,TRUE,TRUE,0,null
makira,10015,2017,bank,TRUE,TRUE,0,null
makira,10015,2017,access high school,FALSE,FALSE,0,null
makira,10015,2017,new clothes,TRUE,TRUE,0,null
makira,10015,2017,solar panel,TRUE,TRUE,3,null
makira,10015,2017,enough field,TRUE,TRUE,0,null
makira,10015,2017,vet service,TRUE,FALSE,0,null
makira,10015,2017,local hospital,TRUE,FALSE,0,null
makira,10015,2017,pot,TRUE,TRUE,4,null
makira,10015,2017,library,TRUE,FALSE,0,null
makira,10015,2017,tv,TRUE,TRUE,2,null
makira,10015,2017,phone,FALSE,FALSE,0,null
makira,10015,2017,security,TRUE,TRUE,0,null
makira,10015,2017,sport field,TRUE,TRUE,0,null
makira,10015,2017,agric training,TRUE,TRUE,0,null
makira,10015,2017,wooden house,TRUE,TRUE,1,null
