landscape,surveyyear,id,nr,nrcollect
lac_tele,2018,5404,marantacea,0
lac_tele,2018,5404,gnetum,1
lac_tele,2018,5404,firewood,3
lac_tele,2018,5404,bushmeat,0
lac_tele,2018,5404,fish,0
lac_tele,2018,5405,bushmeat,0
lac_tele,2018,5405,gnetum,1
lac_tele,2018,5405,fish,1
lac_tele,2018,5405,firewood,2
lac_tele,2018,5405,marantacea,1
lac_tele,2018,5406,marantacea,0
lac_tele,2018,5406,bushmeat,3
lac_tele,2018,5406,gnetum,0
lac_tele,2018,5406,firewood,2
lac_tele,2018,5406,fish,2
lac_tele,2018,5407,fish,5
lac_tele,2018,5407,firewood,3
lac_tele,2018,5407,gnetum,0
lac_tele,2018,5407,bushmeat,0
lac_tele,2018,5407,marantacea,0
lac_tele,2018,5408,bushmeat,0
lac_tele,2018,5408,firewood,0
lac_tele,2018,5408,fish,0
lac_tele,2018,5408,gnetum,0
lac_tele,2018,5408,marantacea,0
lac_tele,2018,5409,marantacea,0
lac_tele,2018,5409,bushmeat,0
lac_tele,2018,5409,fish,0
lac_tele,2018,5409,gnetum,0
lac_tele,2018,5409,firewood,6
lac_tele,2018,5410,bushmeat,0
lac_tele,2018,5410,firewood,0
lac_tele,2018,5410,fish,1
lac_tele,2018,5410,marantacea,0
lac_tele,2018,5410,gnetum,0
lac_tele,2018,5411,fish,0
lac_tele,2018,5411,gnetum,0
lac_tele,2018,5411,firewood,0
lac_tele,2018,5411,marantacea,0
lac_tele,2018,5411,bushmeat,0
lac_tele,2018,5412,marantacea,0
lac_tele,2018,5412,bushmeat,0
lac_tele,2018,5412,firewood,1
lac_tele,2018,5412,gnetum,1
lac_tele,2018,5412,fish,0
lac_tele,2018,5413,gnetum,0
lac_tele,2018,5413,marantacea,0
lac_tele,2018,5413,firewood,3
lac_tele,2018,5413,bushmeat,0
lac_tele,2018,5413,fish,1
lac_tele,2018,5414,bushmeat,0
lac_tele,2018,5414,gnetum,0
lac_tele,2018,5414,marantacea,0
lac_tele,2018,5414,fish,0
lac_tele,2018,5414,firewood,6
lac_tele,2018,5415,gnetum,0
lac_tele,2018,5415,bushmeat,0
lac_tele,2018,5415,marantacea,0
lac_tele,2018,5415,firewood,0
lac_tele,2018,5415,fish,0
lac_tele,2018,5416,marantacea,0
lac_tele,2018,5416,bushmeat,0
lac_tele,2018,5416,fish,2
lac_tele,2018,5416,gnetum,0
lac_tele,2018,5416,firewood,1
lac_tele,2018,5417,bushmeat,0
lac_tele,2018,5417,firewood,6
lac_tele,2018,5417,fish,0
lac_tele,2018,5417,marantacea,0
lac_tele,2018,5417,gnetum,0
lac_tele,2018,5418,firewood,0
lac_tele,2018,5418,gnetum,0
lac_tele,2018,5418,bushmeat,0
lac_tele,2018,5418,marantacea,0
lac_tele,2018,5418,fish,0
lac_tele,2018,5419,marantacea,0
lac_tele,2018,5419,bushmeat,0
lac_tele,2018,5419,firewood,2
lac_tele,2018,5419,gnetum,0
lac_tele,2018,5419,fish,0
lac_tele,2018,5420,firewood,0
lac_tele,2018,5420,gnetum,0
lac_tele,2018,5420,bushmeat,0
lac_tele,2018,5420,fish,7
lac_tele,2018,5420,marantacea,0
lac_tele,2018,5421,bushmeat,0
lac_tele,2018,5421,firewood,0
lac_tele,2018,5421,fish,7
lac_tele,2018,5421,gnetum,0
lac_tele,2018,5421,marantacea,0
lac_tele,2018,5422,gnetum,0
lac_tele,2018,5422,marantacea,1
lac_tele,2018,5422,bushmeat,0
lac_tele,2018,5422,fish,6
lac_tele,2018,5422,firewood,6
lac_tele,2018,5423,marantacea,0
lac_tele,2018,5423,gnetum,0
lac_tele,2018,5423,fish,7
lac_tele,2018,5423,firewood,2
lac_tele,2018,5423,bushmeat,0
lac_tele,2018,5424,bushmeat,0
lac_tele,2018,5424,gnetum,0
lac_tele,2018,5424,fish,7
lac_tele,2018,5424,marantacea,0
lac_tele,2018,5424,firewood,0
lac_tele,2018,5425,gnetum,0
lac_tele,2018,5425,marantacea,0
lac_tele,2018,5425,bushmeat,0
lac_tele,2018,5425,fish,6
lac_tele,2018,5425,firewood,0
lac_tele,2018,5426,fish,4
lac_tele,2018,5426,marantacea,0
lac_tele,2018,5426,gnetum,0
lac_tele,2018,5426,bushmeat,0
lac_tele,2018,5426,firewood,2
lac_tele,2018,5427,bushmeat,0
lac_tele,2018,5427,gnetum,0
lac_tele,2018,5427,marantacea,0
lac_tele,2018,5427,firewood,1
lac_tele,2018,5427,fish,7
lac_tele,2018,5428,fish,0
lac_tele,2018,5428,bushmeat,0
lac_tele,2018,5428,gnetum,0
lac_tele,2018,5428,marantacea,0
lac_tele,2018,5428,firewood,0
lac_tele,2018,5429,fish,0
lac_tele,2018,5429,firewood,3
lac_tele,2018,5429,marantacea,0
lac_tele,2018,5429,bushmeat,0
lac_tele,2018,5429,gnetum,0
lac_tele,2018,5430,gnetum,0
lac_tele,2018,5430,marantacea,0
lac_tele,2018,5430,firewood,0
lac_tele,2018,5430,fish,0
lac_tele,2018,5430,bushmeat,0
lac_tele,2018,5431,firewood,6
lac_tele,2018,5431,gnetum,0
lac_tele,2018,5431,marantacea,0
lac_tele,2018,5431,bushmeat,0
lac_tele,2018,5431,fish,0
lac_tele,2018,5432,firewood,0
lac_tele,2018,5432,marantacea,0
lac_tele,2018,5432,fish,0
lac_tele,2018,5432,gnetum,0
lac_tele,2018,5432,bushmeat,0
lac_tele,2018,5433,marantacea,0
lac_tele,2018,5433,fish,0
lac_tele,2018,5433,firewood,4
lac_tele,2018,5433,gnetum,0
lac_tele,2018,5433,bushmeat,0
lac_tele,2018,5434,gnetum,3
lac_tele,2018,5434,bushmeat,0
lac_tele,2018,5434,fish,0
lac_tele,2018,5434,marantacea,2
lac_tele,2018,5434,firewood,4
lac_tele,2018,5435,marantacea,0
lac_tele,2018,5435,firewood,0
lac_tele,2018,5435,fish,0
lac_tele,2018,5435,gnetum,0
lac_tele,2018,5435,bushmeat,0
lac_tele,2018,5436,firewood,2
lac_tele,2018,5436,bushmeat,0
lac_tele,2018,5436,fish,0
lac_tele,2018,5436,marantacea,0
lac_tele,2018,5436,gnetum,0
lac_tele,2018,5437,gnetum,0
lac_tele,2018,5437,fish,3
lac_tele,2018,5437,firewood,2
lac_tele,2018,5437,marantacea,0
lac_tele,2018,5437,bushmeat,0
lac_tele,2018,5438,marantacea,0
lac_tele,2018,5438,firewood,2
lac_tele,2018,5438,fish,0
lac_tele,2018,5438,bushmeat,0
lac_tele,2018,5438,gnetum,0
lac_tele,2018,5439,bushmeat,0
lac_tele,2018,5439,fish,0
lac_tele,2018,5439,marantacea,0
lac_tele,2018,5439,firewood,2
lac_tele,2018,5439,gnetum,0
lac_tele,2018,5440,bushmeat,0
lac_tele,2018,5440,marantacea,0
lac_tele,2018,5440,fish,0
lac_tele,2018,5440,gnetum,0
lac_tele,2018,5440,firewood,2
lac_tele,2018,5441,firewood,0
lac_tele,2018,5441,bushmeat,0
lac_tele,2018,5441,fish,0
lac_tele,2018,5441,gnetum,0
lac_tele,2018,5441,marantacea,0
lac_tele,2018,5442,firewood,2
lac_tele,2018,5442,fish,0
lac_tele,2018,5442,gnetum,0
lac_tele,2018,5442,marantacea,0
lac_tele,2018,5442,bushmeat,0
lac_tele,2018,5443,fish,7
lac_tele,2018,5443,bushmeat,0
lac_tele,2018,5443,firewood,6
lac_tele,2018,5443,marantacea,0
lac_tele,2018,5443,gnetum,0
lac_tele,2018,5444,bushmeat,0
lac_tele,2018,5444,fish,0
lac_tele,2018,5444,marantacea,0
lac_tele,2018,5444,gnetum,0
lac_tele,2018,5444,firewood,2
lac_tele,2018,5445,marantacea,0
lac_tele,2018,5445,gnetum,0
lac_tele,2018,5445,firewood,0
lac_tele,2018,5445,bushmeat,0
lac_tele,2018,5445,fish,2
lac_tele,2018,5446,bushmeat,0
lac_tele,2018,5446,fish,4
lac_tele,2018,5446,gnetum,0
lac_tele,2018,5446,firewood,0
lac_tele,2018,5446,marantacea,0
lac_tele,2018,5447,firewood,2
lac_tele,2018,5447,marantacea,0
lac_tele,2018,5447,gnetum,1
lac_tele,2018,5447,bushmeat,0
lac_tele,2018,5447,fish,0
lac_tele,2018,5448,fish,0
lac_tele,2018,5448,firewood,2
lac_tele,2018,5448,gnetum,0
lac_tele,2018,5448,marantacea,0
lac_tele,2018,5448,bushmeat,0
lac_tele,2018,5449,marantacea,0
lac_tele,2018,5449,firewood,2
lac_tele,2018,5449,gnetum,0
lac_tele,2018,5449,bushmeat,0
lac_tele,2018,5449,fish,0
lac_tele,2018,5450,firewood,0
lac_tele,2018,5450,marantacea,0
lac_tele,2018,5450,gnetum,0
lac_tele,2018,5450,bushmeat,0
lac_tele,2018,5450,fish,0
lac_tele,2018,5451,fish,2
lac_tele,2018,5451,firewood,2
lac_tele,2018,5451,gnetum,0
lac_tele,2018,5451,marantacea,0
lac_tele,2018,5451,bushmeat,0
lac_tele,2018,5452,gnetum,0
lac_tele,2018,5452,firewood,0
lac_tele,2018,5452,marantacea,0
lac_tele,2018,5452,bushmeat,0
