landscape,id,surveyyear,nr,nrcollect
ndoki,5230,2018,gnetum,2
ndoki,5230,2018,marantaceas,2
ndoki,5230,2018,liana,0
ndoki,5230,2018,bushmeat,1
ndoki,5231,2018,bushmeat,0
ndoki,5231,2018,marantaceas,0
ndoki,5231,2018,gnetum,0
ndoki,5231,2018,firewood,4
ndoki,5231,2018,liana,0
ndoki,5232,2018,marantaceas,1
ndoki,5232,2018,liana,0
ndoki,5232,2018,bushmeat,0
ndoki,5232,2018,gnetum,2
ndoki,5232,2018,firewood,4
ndoki,5233,2018,gnetum,3
ndoki,5233,2018,firewood,6
ndoki,5233,2018,bushmeat,0
ndoki,5233,2018,marantaceas,0
ndoki,5233,2018,liana,0
ndoki,5234,2018,bushmeat,0
ndoki,5234,2018,marantaceas,3
ndoki,5234,2018,gnetum,4
ndoki,5234,2018,liana,0
ndoki,5234,2018,firewood,2
ndoki,5235,2018,firewood,4
ndoki,5235,2018,gnetum,3
ndoki,5235,2018,bushmeat,0
ndoki,5235,2018,marantaceas,0
ndoki,5235,2018,liana,2
ndoki,5236,2018,bushmeat,0
ndoki,5236,2018,marantaceas,2
ndoki,5236,2018,gnetum,5
ndoki,5236,2018,liana,1
ndoki,5236,2018,firewood,5
ndoki,5237,2018,firewood,6
ndoki,5237,2018,bushmeat,1
ndoki,5237,2018,liana,0
ndoki,5237,2018,marantaceas,2
ndoki,5237,2018,gnetum,3
ndoki,5238,2018,firewood,2
ndoki,5238,2018,gnetum,3
ndoki,5238,2018,bushmeat,0
ndoki,5238,2018,liana,0
ndoki,5238,2018,marantaceas,1
ndoki,5239,2018,gnetum,0
ndoki,5239,2018,firewood,0
ndoki,5239,2018,marantaceas,0
ndoki,5239,2018,bushmeat,0
ndoki,5239,2018,liana,0
ndoki,5240,2018,firewood,4
ndoki,5240,2018,bushmeat,0
ndoki,5240,2018,gnetum,2
ndoki,5240,2018,marantaceas,1
ndoki,5240,2018,liana,1
ndoki,5241,2018,bushmeat,0
ndoki,5241,2018,gnetum,5
ndoki,5241,2018,firewood,3
ndoki,5241,2018,marantaceas,0
ndoki,5241,2018,liana,0
ndoki,5242,2018,firewood,1
ndoki,5242,2018,gnetum,1
ndoki,5242,2018,liana,3
ndoki,5242,2018,bushmeat,0
ndoki,5242,2018,marantaceas,2
ndoki,5243,2018,firewood,5
ndoki,5243,2018,marantaceas,2
ndoki,5243,2018,gnetum,3
ndoki,5243,2018,liana,0
ndoki,5243,2018,bushmeat,0
ndoki,5244,2018,liana,0
ndoki,5244,2018,gnetum,1
ndoki,5244,2018,bushmeat,0
ndoki,5244,2018,firewood,5
ndoki,5244,2018,marantaceas,2
ndoki,5245,2018,firewood,0
ndoki,5245,2018,liana,0
ndoki,5245,2018,bushmeat,0
ndoki,5245,2018,marantaceas,0
ndoki,5245,2018,gnetum,0
ndoki,5246,2018,gnetum,3
ndoki,5246,2018,liana,1
ndoki,5246,2018,firewood,5
ndoki,5246,2018,marantaceas,2
ndoki,5246,2018,bushmeat,0
ndoki,5247,2018,marantaceas,0
ndoki,5247,2018,firewood,3
ndoki,5247,2018,liana,0
ndoki,5247,2018,gnetum,2
ndoki,5247,2018,bushmeat,0
ndoki,5248,2018,marantaceas,0
ndoki,5248,2018,liana,0
ndoki,5248,2018,gnetum,0
ndoki,5248,2018,bushmeat,0
ndoki,5248,2018,firewood,0
ndoki,5249,2018,firewood,7
ndoki,5249,2018,bushmeat,0
ndoki,5249,2018,liana,1
ndoki,5249,2018,marantaceas,1
ndoki,5249,2018,gnetum,5
ndoki,5250,2018,marantaceas,1
ndoki,5250,2018,bushmeat,0
ndoki,5250,2018,gnetum,4
ndoki,5250,2018,firewood,6
ndoki,5250,2018,liana,1
ndoki,5251,2018,marantaceas,0
ndoki,5251,2018,gnetum,5
ndoki,5251,2018,bushmeat,0
ndoki,5251,2018,liana,1
ndoki,5251,2018,firewood,4
ndoki,5252,2018,firewood,5
ndoki,5252,2018,gnetum,3
ndoki,5252,2018,marantaceas,1
ndoki,5252,2018,liana,1
ndoki,5252,2018,bushmeat,0
ndoki,5253,2018,gnetum,2
ndoki,5253,2018,bushmeat,0
ndoki,5253,2018,liana,0
ndoki,5253,2018,firewood,5
ndoki,5253,2018,marantaceas,0
ndoki,5254,2018,marantaceas,2
ndoki,5254,2018,liana,1
ndoki,5254,2018,bushmeat,0
ndoki,5254,2018,gnetum,6
ndoki,5254,2018,firewood,6
ndoki,5255,2018,bushmeat,0
ndoki,5255,2018,gnetum,0
ndoki,5255,2018,liana,0
ndoki,5255,2018,firewood,0
ndoki,5255,2018,marantaceas,0
ndoki,5256,2018,firewood,5
ndoki,5256,2018,liana,1
ndoki,5256,2018,gnetum,3
ndoki,5256,2018,bushmeat,0
ndoki,5256,2018,marantaceas,1
ndoki,5257,2018,gnetum,3
ndoki,5257,2018,bushmeat,0
ndoki,5257,2018,liana,1
ndoki,5257,2018,firewood,4
ndoki,5257,2018,marantaceas,2
ndoki,5258,2018,gnetum,4
ndoki,5258,2018,firewood,7
ndoki,5258,2018,marantaceas,2
ndoki,5258,2018,bushmeat,0
ndoki,5258,2018,liana,0
ndoki,5259,2018,bushmeat,1
ndoki,5259,2018,marantaceas,2
ndoki,5259,2018,firewood,4
ndoki,5259,2018,gnetum,2
ndoki,5259,2018,liana,0
ndoki,5260,2018,marantaceas,1
ndoki,5260,2018,bushmeat,0
ndoki,5260,2018,liana,0
ndoki,5260,2018,gnetum,5
ndoki,5260,2018,firewood,2
ndoki,5261,2018,marantaceas,1
ndoki,5261,2018,liana,0
ndoki,5261,2018,gnetum,3
ndoki,5261,2018,bushmeat,1
ndoki,5261,2018,firewood,5
ndoki,5262,2018,firewood,3
ndoki,5262,2018,bushmeat,0
ndoki,5262,2018,gnetum,2
ndoki,5262,2018,marantaceas,4
ndoki,5262,2018,liana,0
ndoki,5263,2018,firewood,2
ndoki,5263,2018,gnetum,0
ndoki,5263,2018,marantaceas,1
ndoki,5263,2018,bushmeat,0
ndoki,5263,2018,liana,0
ndoki,5264,2018,bushmeat,0
ndoki,5264,2018,gnetum,2
ndoki,5264,2018,marantaceas,1
ndoki,5264,2018,liana,0
ndoki,5264,2018,firewood,6
ndoki,5265,2018,marantaceas,3
ndoki,5265,2018,liana,0
ndoki,5265,2018,gnetum,3
ndoki,5265,2018,bushmeat,0
ndoki,5265,2018,firewood,4
ndoki,5266,2018,bushmeat,0
ndoki,5266,2018,firewood,6
ndoki,5266,2018,marantaceas,0
ndoki,5266,2018,gnetum,1
ndoki,5266,2018,liana,0
ndoki,5267,2018,firewood,0
ndoki,5267,2018,marantaceas,0
ndoki,5267,2018,bushmeat,0
ndoki,5267,2018,gnetum,0
ndoki,5267,2018,liana,0
ndoki,5268,2018,firewood,0
ndoki,5268,2018,liana,0
ndoki,5268,2018,bushmeat,0
ndoki,5268,2018,marantaceas,0
ndoki,5268,2018,gnetum,0
ndoki,5269,2018,marantaceas,0
ndoki,5269,2018,bushmeat,0
ndoki,5269,2018,gnetum,0
ndoki,5269,2018,liana,0
ndoki,5269,2018,firewood,0
ndoki,5270,2018,firewood,5
ndoki,5270,2018,gnetum,1
ndoki,5270,2018,liana,0
ndoki,5270,2018,marantaceas,1
ndoki,5270,2018,bushmeat,0
ndoki,5271,2018,liana,0
ndoki,5271,2018,firewood,0
ndoki,5271,2018,nr_freq,0
ndoki,5271,2018,marantaceas,0
ndoki,5271,2018,bushmeat,0
ndoki,5271,2018,gnetum,0
ndoki,5272,2018,bushmeat,1
ndoki,5272,2018,firewood,6
ndoki,5272,2018,liana,0
ndoki,5272,2018,gnetum,4
ndoki,5272,2018,marantaceas,2
ndoki,5273,2018,bushmeat,0
ndoki,5273,2018,liana,0
ndoki,5273,2018,gnetum,1
ndoki,5273,2018,marantaceas,0
ndoki,5273,2018,firewood,0
ndoki,5274,2018,bushmeat,0
ndoki,5274,2018,liana,0
ndoki,5274,2018,firewood,2
ndoki,5274,2018,gnetum,3
ndoki,5274,2018,marantaceas,0
ndoki,5275,2018,marantaceas,0
ndoki,5275,2018,bushmeat,0
ndoki,5275,2018,gnetum,0
ndoki,5275,2018,liana,0
ndoki,5275,2018,firewood,4
ndoki,5276,2018,marantaceas,0
ndoki,5276,2018,liana,0
ndoki,5276,2018,firewood,6
ndoki,5276,2018,bushmeat,0
ndoki,5276,2018,gnetum,1
ndoki,5277,2018,firewood,0
ndoki,5277,2018,marantaceas,0
ndoki,5277,2018,gnetum,0
ndoki,5277,2018,liana,0
ndoki,5277,2018,bushmeat,0
ndoki,5278,2018,marantaceas,0
ndoki,5278,2018,bushmeat,0
ndoki,5278,2018,gnetum,2
ndoki,5278,2018,liana,1
ndoki,5278,2018,firewood,5
