landscape,surveyyear,id,gs,necessary,have,quantity,price
ndoki,2018,5202,jerrycan 25l,1,0,0,null
ndoki,2018,5202,chicken,1,0,0,null
ndoki,2018,5202,bed and mattress,1,0,0,null
ndoki,2018,5202,drinking water 15min,1,0,0,null
ndoki,2018,5202,hurricane lamp,1,0,0,null
ndoki,2018,5202,pot,1,1,1,null
ndoki,2018,5202,canoe,1,0,0,null
ndoki,2018,5202,protein once week,1,1,0,null
ndoki,2018,5202,gun,1,0,0,null
ndoki,2018,5202,money school,1,0,0,null
ndoki,2018,5202,natural resources 1h,1,1,0,null
ndoki,2018,5202,freezer,0,0,0,null
ndoki,2018,5202,tv,0,0,0,null
ndoki,2018,5202,equipped pharmacy village,1,0,0,null
ndoki,2018,5202,women care provided women,1,0,0,null
ndoki,2018,5202,lance,1,0,0,null
ndoki,2018,5202,machete,1,1,1,null
ndoki,2018,5202,moto,0,0,0,null
ndoki,2018,5202,generator,0,0,0,null
ndoki,2018,5202,sport ground,1,1,0,null
ndoki,2018,5202,mosquito net,1,0,0,null
ndoki,2018,5202,fishing net,1,1,2,null
ndoki,2018,5202,access employment,1,0,0,null
ndoki,2018,5202,jewelry,1,1,2,null
ndoki,2018,5202,new clothes,1,1,0,null
ndoki,2018,5202,field half ha,1,1,2,null
ndoki,2018,5202,meal 2 day,1,0,0,null
ndoki,2018,5202,hairdresser,1,0,0,null
ndoki,2018,5202,sheep breeding,1,0,0,null
ndoki,2018,5202,adult learning,1,0,0,null
ndoki,2018,5202,phone,0,0,0,null
ndoki,2018,5202,table chairs,0,0,0,null
ndoki,2018,5202,brick house metal roof,0,0,0,null
ndoki,2018,5202,cookstove,0,0,0,null
ndoki,2018,5203,brick house metal roof,0,0,0,null
ndoki,2018,5203,bed and mattress,1,1,1,null
ndoki,2018,5203,money school,1,0,0,null
ndoki,2018,5203,lance,1,1,1,null
ndoki,2018,5203,sewing machine,0,0,0,null
ndoki,2018,5203,mosquito net,1,0,1,null
ndoki,2018,5203,adult learning,1,0,0,null
ndoki,2018,5203,new clothes,1,0,0,null
ndoki,2018,5203,fishing net,1,1,2,null
ndoki,2018,5203,field half ha,1,1,2,null
ndoki,2018,5203,sport ground,1,1,0,null
ndoki,2018,5203,jerrycan 25l,1,1,1,null
ndoki,2018,5203,moto,0,0,0,null
ndoki,2018,5203,work without discrimination,1,0,0,null
ndoki,2018,5203,hurricane lamp,1,1,2,null
ndoki,2018,5203,tv,0,0,0,null
ndoki,2018,5203,cookstove,0,0,0,null
ndoki,2018,5203,machete,1,0,2,null
ndoki,2018,5203,freezer,0,0,0,null
ndoki,2018,5203,generator,0,0,0,null
ndoki,2018,5203,sheep breeding,1,0,0,null
ndoki,2018,5203,gun,1,0,0,null
ndoki,2018,5203,natural resources 1h,1,1,0,null
ndoki,2018,5203,canoe,1,0,0,null
ndoki,2018,5203,phone,0,0,0,null
ndoki,2018,5203,table chairs,1,0,0,null
ndoki,2018,5203,access employment,1,0,0,null
ndoki,2018,5203,protein once week,1,0,0,null
ndoki,2018,5203,women care provided women,1,0,0,null
ndoki,2018,5203,jewelry,1,1,1,null
ndoki,2018,5203,women decision village,1,1,0,null
ndoki,2018,5203,equipped pharmacy village,1,0,0,null
ndoki,2018,5203,meal 2 day,1,1,0,null
ndoki,2018,5203,hairdresser,0,0,0,null
ndoki,2018,5203,pot,1,1,1,null
ndoki,2018,5203,drinking water 15min,1,0,0,null
ndoki,2018,5203,chicken,1,1,5,null
ndoki,2018,5204,bed and mattress,1,1,1,null
ndoki,2018,5204,hairdresser,1,0,0,null
ndoki,2018,5204,new clothes,0,0,0,null
ndoki,2018,5204,jerrycan 25l,1,1,5,null
ndoki,2018,5204,drinking water 15min,1,0,0,null
ndoki,2018,5204,protein once week,1,1,0,null
ndoki,2018,5204,natural resources 1h,1,1,0,null
ndoki,2018,5204,field half ha,1,1,3,null
ndoki,2018,5204,chicken,1,1,30,null
ndoki,2018,5204,mosquito net,1,1,6,null
ndoki,2018,5204,work without discrimination,1,1,0,null
ndoki,2018,5204,brick house metal roof,0,0,0,null
ndoki,2018,5204,pot,1,1,10,null
ndoki,2018,5204,access employment,0,0,0,null
ndoki,2018,5204,lance,1,1,2,null
ndoki,2018,5204,jewelry,1,0,0,null
ndoki,2018,5204,canoe,1,1,1,null
ndoki,2018,5204,phone,0,0,0,null
ndoki,2018,5204,freezer,0,0,0,null
ndoki,2018,5204,machete,1,1,3,null
ndoki,2018,5204,gun,1,1,1,null
ndoki,2018,5204,table chairs,0,0,0,null
ndoki,2018,5204,hurricane lamp,1,1,3,null
ndoki,2018,5204,women decision village,1,1,0,null
ndoki,2018,5204,cookstove,0,0,0,null
ndoki,2018,5204,generator,0,0,0,null
ndoki,2018,5204,sheep breeding,0,0,0,null
